id,评论,打分,时间
17561924981,买的第二个了 第一个买的黑色的 这次买的是蓝色的 这个头盔质量非常不错 卖家也很好 发货速度也很快,5,2022-05-31 14:34:07
15413176621,电动车头盔男四季防晒防雨电瓶车头盔女士夏季哈雷头盔轻便式半覆式安全帽四季通用半盔防晒夏天 灰色黑茶中 均码不错的一款头盔，算得上一款物美廉价，做工不错，款式较为新颖的头盔，戴着较为舒服，灰色是我喜欢的色系。,5,2021-03-12 20:02:52
18614292176,东西很不错，灰色高端大气上档次。比买电动车送的那个好太多了，还会再来,5,2022-12-27 15:49:53
17559053564,头盔质量还挺好，比较厚实，内衬也比较舒适。磨砂的哑黑。还挺好看的。,5,2022-05-30 19:35:32
17552356335,这个价位的头盔可以说绝对良心商家，头盔外观漂亮大气，做工精细，还很贴心送了一些装饰，而且质量有认证，值得推荐！,5,2022-05-29 09:48:41
15688567856,这款安全帽子还可以的，在此之前在其他平台也买了，但是质量没有这个好，退掉了，又在京东上买的，这个价位的话相比同产品还是不错，现在不买头盔不行，查得紧。,5,2021-05-18 17:44:44
17603682690,刚刚收到货 第一时间打开  没有失望  性价比高得很  质量没的说  值得购买,5,2022-06-08 20:00:55
17582206112,头盔看着很结实，也很厚实，颜色也很喜欢，重量也合适,5,2022-06-04 16:58:42
18881336083,他俩质量蛮不错的，一下在两家店铺拍了，一对比，另外一个果断退过了，太差了虽然质量也便宜一些，确实质量差的有点多，镜片要去看透明，不喜欢，和客服沟通了。可以换货，不错的购物体验,5,2023-03-10 20:12:44
17553451374,非常好用，颜色漂亮，戴起来舒服，尤其是后面有反光板，灯光照射下可以被发现，起到反光警示作用，前挡风遮雨板非常方便拆卸，物美价廉，经济实惠，活动买的价格美丽，支持京东商城，支持国货精品店，谢谢!,5,2022-05-29 14:02:07
17584819178,头盔很漂亮，也很结实，非常好的一次购物，下次会回购的，赞??,5,2022-06-05 08:43:08
18767038323,非常满意的一次购物，头盔很好看，里面的一层保护棉非常紧贴，带上非常舒服，细节也特别到位，也很结实。,5,2023-02-09 18:06:32
15364106170,快递很快，一天就到了。头盔质量很不错物有所值。而且头盔背后很贴心的还有反光镜。晚上骑车方便多了。不错，5分好评。,5,2021-02-28 21:12:41
17565689361,头盔非常漂亮，颜色非常喜欢，大小很合适，戴上毫顶毫无压力，非常好，推荐给朋友来购买,5,2022-06-01 10:55:45
15581456273,质量很好，有反光标识！外观也非常好看！性价比高！服务也好,5,2021-04-20 15:06:37
18781452698,个人觉得很不错。外观内胆都挺好。便宜又好用。大小可调节。很满意的一次购物。出货也挺快。值得推荐。,5,2023-02-13 15:48:44
17559434343,这个人头盔一打开箱子就感受到商家对产品的严格把关，头盔颜值高先不说，里面的一层保护棉非常的紧贴，带上非常的好看更舒服，小细节上也非常到位，能松紧，还有透气孔，头盔也很结实，非常的棒。,5,2022-05-30 21:03:48
16279411118,发货速度很快，东西也可以，好评。,5,2021-09-10 08:35:45
18774510560,商品收到了，看着颜色非常喜欢，然后质量非常好，建议入手，很完美的商品。,5,2023-02-11 17:43:07
18775005899,今天刚收到货 快递也挺快 收到后迫不及待打开了 果然没有失望 确实挺不错 挺厚实的 质量应该过硬,5,2023-02-11 19:22:40
19004787324,不错，对比了其他的头盔，这家的质量价格上面性价比都很高。值得推荐。戴起来很舒服。,5,2023-04-09 09:22:15
18818051890,质量很好，颜色我也很喜欢，是我想要的，喜欢的抓紧下单吧,5,2023-02-22 21:26:18
17759975017,头盔还不错，正好618做活动价格还是蛮优惠的，因为头盔的型号不同，所以不大懂，问商家的时候，商家非常耐心的解答。商家商家的服务态度非常好，遇到事情不逃避直接帮顾客解决最近服务非常好，物流的送货，速度非常非常的快，后续如果有需求还会联系光顾。,5,2022-07-10 09:36:22
18380250706,镜片换成透明的，亮黑灰色，造型像越野单车头盔，这种是摩托车专用的，里面有棉片，现在这天气带着还可以，夏天可能会热。,5,2022-11-13 12:58:31
17859601966,非常满意的一次购物，京东物流很快，商品很好，穿戴很舒服，用过一段时间后才来评价，非常愉快的一次购物体验,5,2022-08-01 19:39:27
